Document,Summary,Model output
"thousands of people attacked chinese police in the southern city of shenzhen from friday afternoon to early saturday morning , state media reported .",thousands attack police in southern china : state media, Thousands attack Chinese police in Shenzhen.
us president george w. bush on friday warned that it would take time for federal stimulus measures to have their full economic effect amid news of steep job losses .,it will take time for economic measures to take effect : bush, Bush acknowledges stimulus timeline.
"bank lending tightened up as financial markets erupted this year and is set to tighten further in the near future , a european central bank survey showed on friday , despite massive efforts by authorities to unfreeze credit markets .",eurozone bank lending set to tighten ecb survey finds, Bank lending tightening due to market turmoil.
"five french trekkers and mountaineers were among six foreigners killed during the autumn climbing season in nepal , the french embassy and nepalese officials said friday .",nepal climbing season claims five french lives, French trekkers among dead in Nepal.
"argentine striker gonzalo higuain scored an incredible four goals , including two questionable penalties , as ten-man real madrid came from behind three times to defeat malaga #-# on sunday and go top of the spanish first division for the first time this season .",four goal hero higuain fires real top," Higuain scores 4, Real Madrid wins."
"us president-elect barack obama on friday said he would act `` swiftly '' as soon as he takes office to confront the economic crisis head on , during his first news conference since his historic election .",obama vows to confront economic crisis head on, Obama pledges swift action on economy.
"pope benedict xvi marked sunday the ##th anniversary of the kristallnacht pogrom , a prelude to the holocaust , by recalling the agony he felt as a boy growing up in nazi germany .",pope speaks of pain of kristallnacht memories, Pope Benedict XVI recalls Kristallnacht agony.
australian foreign minister stephen smith sunday congratulated new zealand 's new prime minister-elect john key as he praised ousted leader helen clark as a `` gutsy '' and respected politician .,time caught up with nz 's gutsy clark says australian fm," Australian Foreign Minister praises Clark, congratulates Key."
"iraq 's cabinet is expected to meet in baghdad on tuesday to discuss a military accord that will govern the presence of american troops in iraq beyond #### , a minister said on monday .",iraq 's cabinet expected to meet on us pact as deadline looms, Iraqi Cabinet to meet Tuesday for troop talks.
"syria and lebanon decided on monday to boost border controls and anti-terrorism coordination , as the two neighbors took a new step to strengthen ties since diplomatic relations were established .",syria and lebanon to boost border anti-terror controls, Syria and Lebanon boosted border
global banking giant hsbc said on monday that its pre-tax profits had risen in the third-quarter despite loan write-offs in the united states rising to #.# billion dollars -lrb- #.# billion euros -rrb- .,hsbc says profits rise despite rising us bad debts, HSBC profits up despite US loan losses.
fourteen men accused of membership of organised crime gangs and involvement in a savage europe-wide vendetta go on trial wednesday at UNK in southern italy .,trial opens wednesday in case of italian organised crime vendetta," 14 men, organized crime gangs, trial in Italy."
"russia 's defense industry has been badly hit by the global financial crisis , deputy prime minister sergei ivanov , a former defense minister , said tuesday .",russia 's defense sector hit by financial crisis : govt official, Russia's defense industry struggling.
grim overall economic and corporate news pushed global stocks into reverse on tuesday despite an unexpected beam of light for the german economy .,grim economic outlook knocks stocks back despite german uplift, Global stocks fell due to negative news.
"eight members of an ultra-left anarchist group have been arrested in connection with a string of attacks on france 's rail network , french interior minister michele alliot-marie announced tuesday .",train sabotage : eight leftwing anarchists arrested : minister, Eight ultra-left anarchists arrested.
iraqi foreign minister hoshyar zebari on wednesday repeated baghdad 's denunciation of a deadly us raid on a syrian village that he said harmed relations between the neighbouring countries .,iraq again denounces us attack on syrian village, Iraq condemns US raid on Syrian village.
"a blue-ribbon panel of experts said on wednesday that german economic growth will grind to a halt next year , raising doubts about berlin 's plans to shield europe 's biggest economy from the global turmoil .",german economy will grind to halt in #### say experts, Blue-ribbon panel predicts German economic slowdown.
"new zealand share prices closed #.## percent lower wednesday after investors took their lead from further weakness in overseas markets , dealers said .",new zealand shares close down #.## percent, New Zealand shares down due to global market weakness.
juventus moved into second place in italy 's serie a with a #-# win over genoa at turin 's stadio olimpico .,football : juventus up to second in impressive style," Juve won, second place gained"
us shares managed modest gains in morning trade thursday as investors looked for bargains after a punishing three-day market selloff and shook off more bleak economic and corporate news .,wall street struggles higher after three-day rout," US shares up, despite negative news."
"chelsea striker didier drogba is under investigation for an incident during wednesday night 's league cup loss to burnley when he threw a coin back at the crowd , police confirmed thursday .",afp world news agenda, Drogba investigated for throwing coin.
"china plans to punish singers who UNK for `` cheating the public , '' the ministry of culture said thursday .",afp features, China to punish singers for cheating public.
"shivnarine chanderpaul hit a fighting century but could n't stop pakistan winning the second day-night international by ## runs here on friday , securing an unbeatable #-# lead .",cricket : chanderpaul 's hundred in vain as pakistan clinch series," Chanderpaul hits hundred, Pakistan wins."
"german carmaker opel , a unit of troubled us giant general motors , has asked berlin and regional states for credit guarantees to ensure its financing , its chief executive hans UNK said in an interview published friday .",opel asks for german public loan guarantees : report," Opel seeks credit guarantees from Berlin, states."
"a chinese fishing boat with a ##-man crew has been hijacked by pirates off the coast of east africa and is being held in somalia , state media reported here on friday .",china fishing boat hijacked off east africa : chinese state media, Chinese fishing boat hijacked in Somalia.
"iran , opec 's number two oil producer , favors a cut in crude production of #.# to #.# million barrels per day when the oil cartel meets in cairo later this month , state television reported saturday .",iran favors opec cut of #.# to #.# million bpd, Iran favors OPEC cut in oil production.
villarreal coach manuel pellegrini was understandably disappointed at dropping two points in the title race as malaga scored a ##th minute equaliser to snatch a #-# draw on sunday .,football : pellegrini rues dropped villarreal points, Pellegrini Disappointed After Draw.
stock markets in the gulf states plunged on the week 's opener sunday as panic from the fallout of the global economic crisis continued to dampen investor sentiment .,gulf stocks plunge as g## fails to halt panic, Stock markets down due to panic.
"a brutal financial crisis showed its teeth on monday as us banking giant citigroup announced a massive ##,### job cuts and automakers begged governments to save them amid a spreading global recession .",global crisis shows teeth with mass citigroup cuts, Brutal financial crisis causes mass layoffs.
international mediators raised concerns monday over fresh fighting near azerbaijan 's disputed nagorny karabakh region that left at least one soldier dead at the weekend .,mediators raise concerns over deadly karabakh fighting, Mediators concerned over fresh Nagorno-Karabakh fighting.
leading tibetan exiles began a week-long meeting monday in northern india that could usher in a more radical approach to their long struggle against chinese rule in tibet .,tibetans plot future after dalai lama admits failure, Tibetan exiles hold week-long meeting.
"british premier gordon brown has narrowed the poll gap on opposition conservatives to just three points , a survey showed tuesday , the latest sign of a boost from his handling of the financial crisis .",british pm gets poll boost from crisis management," Brown narrows poll gap, boosted by crisis handling."
"barclays , the second-biggest british bank , said tuesday that investors from the oil-rich gulf had agreed to amend terms of their proposed capital injection worth billions of dollars .",barclays proposed gulf investors amend injection plan, Barclays agrees to amended Gulf investment.
"chinese share prices plummeted #.## percent on tuesday as unabated concerns over china 's slowing economy and weakness in regional markets triggered heavy selling , dealers said .",chinese shares close down #.## pct, Chinese share prices fell sharply.
"david beckham 's career should be over , england 's #### world cup winner martin peters said following the la galaxy midfielder 's run of substitute appearances .",football : beckham career should be over says world cup winner peters, Martin Peters criticizes Beckham's career.
"barack obama 's transition team dropped broad hints wednesday about who will fill a raft of top posts in his administration , naming teams of aides to develop policies in key areas .",obama gives hints about key administration posts, Obama transition team hints at top posts.
"al-qaeda number two ayman zawahiri warned us president-elect barack obama against sending more troops to afghanistan , in an internet UNK released on wednesday .",zawahiri warns obama against sending troops to afghanistan, Zawahiri warns Obama against Afghanistan troop surge.
"just as germany comes under pressure to do more to jumpstart the world 's third biggest economy , party politics is rearing its ugly head and undermining berlin 's efforts to weather a sharp global slowdown .",party politics undermine german economic defences, Germany political challenges hinder recovery.
"russian president dmitry medvedev on thursday demanded ukraine repay #.# billion dollars -lrb- #.# billion euros -rrb- of debt to russian energy giant gazprom , saying kiev could be `` forced '' to pay up .",medvedev demands ukraine repay #.# billion dollar gas debt, Medvedev demands Ukraine pay Gazprom debt.
"the council of europe 's human rights commissioner slammed thursday as `` unacceptable '' conditions in france 's overcrowded and dilapidated jails , where some ## inmates have committed suicide this year .",council of europe again slams french prison conditions, Council of Europe criticizes French prisons.
there could be a nasty surprise under the tree for the us economy this christmas .,grim tidings for us christmas shopping season, Nasty Surprise Under Tree.
opponents of the leftist government of president daniel ortega said wednesday they had enough votes in congress to annul the disputed november # municipal elections in nicaragua .,afp client advisory on australian cricket coverage, Opponents have enough votes to annul elections.
"malaysian shares are expected to remain volatile in the coming week on continuing uncertainties in the global financial markets and fears over the length of a global recession , dealers said friday .",malaysian shares to remain volatile next week : analysts, Malaysian shares face uncertainty.
kevin garnett scored ## points in his return after a one-game suspension and the boston celtics ripped detroit ##-## here thursday in a rematch of last season 's nba semi-finals .,basketball : garnett makes triumphant return as celtics top pistons," Garnett scores 20, Celtics win."
the alleged al-qaeda mastermind of a #### transatlantic airplane bombing plot had been on the run for nearly a year before a us missile attack in northwest pakistan ended his life saturday .,terror plot mastermind killed in pakistan after year on the run, Alleged Al-Qaeda Mastermind Killed.
somali pirates holding a huge oil-laden saudi tanker on saturday vowed to fight back should any assault be attempted to free the ship and urged its owners to pay up a ## million dollars ransom .,we 'll fight back somali pirates warn, Pirates demand ransom for tanker.
australian share prices opened slightly higher on monday following a big rally on wall street ahead of the weekend .,australian shares open up #.# percent, Australian shares rose after Wall Street gains.
portsmouth striker jermain defoe could be ruled out for several weeks if a specialist decides the england international needs surgery to cure a calf injury .,football : defoe to see specialist over calf injury," Jermain Defoe injured, may need surgery."
"south korea 's central bank is likely to inject up to #.# billion dollars into a state fund aimed at easing a credit squeeze in the country 's debt market , a report said sunday .",skorea 's central bank to inject money into bond fund : report, South Korea's central bank may inject $xxB into a state fund for easier credit access in the country's debt market.
oil prices roared higher towards ## dollars on monday as equity markets surged on government action aimed at tackling a severe economic downturn .,oil prices soar towards ## dollars, Oil prices soar on government action.
