Document,Summary,Model output
"hong kong shares closed #.# percent higher monday , led by property developers and hsbc , dealers said .",hong kong shares close #.# percent higher," Property developers and HSBC drove Hong Kong shares higher, with dealers reporting #.#% gains."
"talks between china and taiwan are expected to see the arch rivals forge closer economic ties this week but are unlikely to cool simmering tensions over the island 's sovereignty , analysts said .",fresh taiwan-china talks to set stage for improved ties : analysts," Closer ties, but no sovereignty resolution."
"un chief ban ki-moon said he would personally mediate in the crisis in the democratic republic of congo where new clashes broke out tuesday , threatening a week-old ceasefire .",ban to lead congo mediation as new clashes threaten truce, UN Chief to Mediate Crisis in DR Congo.
"after the longest and most expensive us presidential campaign ever , newspaper headlines on tuesday reflected both the historic importance of the occasion and relief that the outcome will soon be known .",us press hail historic presidential vote," Historic Election Day, Outcome Unknown"
"americans vote in an election of rare historic potential tuesday , with front - running democrat barack obama seeking to become the first black president and republican john mccain hoping for a UNK comeback .",history beckons obama mccain on election day, Historic US Election on Tuesday
"taiwan share prices opened slightly lower tuesday with profit taking emerging as the market hovered close to the key #,###-point mark , dealers said .",taipei shares open slightly lower, Taiwan share prices slipped lower; profit-taking cited.
ten senior french officers filed suit against rwanda for slander on tuesday after a justice minister 's report accused them of taking part in the #### genocide .,ten french officers file suit over rwanda genocide report, Ten French officers sue Rwanda for defamation.
"voter turnout reached a level unseen for a century in the historic election that swept barack obama to power as the first black us president , according to data published by analysts on wednesday .",record turnout for us election : analysts, Historically high voter turnout for Obama's presidency.
"retailers in the ## countries using the euro saw demand slip less than expected in september despite the worst financial crisis for generations , official eu data showed on wednesday UNK",eurozone retail sales slip less than expected : eu data," Retailers in Eurozone countries experienced a smaller-than-expected decline in September, according to recent EU data."
australian prime minister kevin rudd wednesday praised us president-elect barack obama for turning martin luther king 's dream into a reality after the african - american won his country 's highest office .,australian pm says obama has turned king 's dream to reality, Australian Prime Minister Kevin Rudd commended Barack Obama on achieving Dr. Martin Luther King's dream of an African-American becoming President of the United States.
australia coach robbie deans has made eight changes to the side that was defeated by new zealand at the weekend ahead of the wallabies ' test against italy here sunday .,rugbyu : deans rings changes for aussies azzurri test, Australia coach Robbie Deans makes changes for Italy match.
india were ###-# in their first innings at lunch on the opening day of the fourth and final test against australia here on thursday .,cricket : india ###-# at lunch in final australia test, India trailing by 123 runs at lunch on Day 1 of Test #4 vs Australia.
"thousands of people attacked chinese police in the southern city of shenzhen from friday afternoon to early saturday morning , state media reported .",thousands attack police in southern china : state media," Thousands protest against police in Shenzhen, China."
us president george w. bush on friday warned that it would take time for federal stimulus measures to have their full economic effect amid news of steep job losses .,it will take time for economic measures to take effect : bush," ""Federal Stimulus May Take Time to Have Full Economic Effect"" - George W. Bush, Friday."
"bank lending tightened up as financial markets erupted this year and is set to tighten further in the near future , a european central bank survey showed on friday , despite massive efforts by authorities to unfreeze credit markets .",eurozone bank lending set to tighten ecb survey finds, Bank lending tightening due to financial market volatility.
"five french trekkers and mountaineers were among six foreigners killed during the autumn climbing season in nepal , the french embassy and nepalese officials said friday .",nepal climbing season claims five french lives," Six foreigners, including French trekkers and mountaineers, died in Nepal during the fall climbing season."
"argentine striker gonzalo higuain scored an incredible four goals , including two questionable penalties , as ten-man real madrid came from behind three times to defeat malaga #-# on sunday and go top of the spanish first division for the first time this season .",four goal hero higuain fires real top," Gonzalo Higuain scored four goals, including two penalties, as Real Madrid defeated Malaga."
"us president-elect barack obama on friday said he would act `` swiftly '' as soon as he takes office to confront the economic crisis head on , during his first news conference since his historic election .",obama vows to confront economic crisis head on, President-elect Obama plans to address economic crisis upon taking office.
"pope benedict xvi marked sunday the ##th anniversary of the kristallnacht pogrom , a prelude to the holocaust , by recalling the agony he felt as a boy growing up in nazi germany .",pope speaks of pain of kristallnacht memories, Pope Benedict XVI remembered Kristallnacht on its 80th anniversary.
australian foreign minister stephen smith sunday congratulated new zealand 's new prime minister-elect john key as he praised ousted leader helen clark as a `` gutsy '' and respected politician .,time caught up with nz 's gutsy clark says australian fm, Australian Foreign Minister Congratulates New Zealand's PM-Elect.
"iraq 's cabinet is expected to meet in baghdad on tuesday to discuss a military accord that will govern the presence of american troops in iraq beyond #### , a minister said on monday .",iraq 's cabinet expected to meet on us pact as deadline looms, Iraqi Cabinet to Discuss U.S. Troop Agreement.
"syria and lebanon decided on monday to boost border controls and anti-terrorism coordination , as the two neighbors took a new step to strengthen ties since diplomatic relations were established .",syria and lebanon to boost border anti-terror controls, Syria and Lebanon improve border security.
global banking giant hsbc said on monday that its pre-tax profits had risen in the third-quarter despite loan write-offs in the united states rising to #.# billion dollars -lrb- #.# billion euros -rrb- .,hsbc says profits rise despite rising us bad debts, HSBC reports higher pre-tax profits despite US loan write-offs.
fourteen men accused of membership of organised crime gangs and involvement in a savage europe-wide vendetta go on trial wednesday at UNK in southern italy .,trial opens wednesday in case of italian organised crime vendetta, Fourteen men on trial for organized crime.
"russia 's defense industry has been badly hit by the global financial crisis , deputy prime minister sergei ivanov , a former defense minister , said tuesday .",russia 's defense sector hit by financial crisis : govt official, Russia's defense industry suffers from financial crisis.
grim overall economic and corporate news pushed global stocks into reverse on tuesday despite an unexpected beam of light for the german economy .,grim economic outlook knocks stocks back despite german uplift, Global stocks decline due to bleak economic news.
"eight members of an ultra-left anarchist group have been arrested in connection with a string of attacks on france 's rail network , french interior minister michele alliot-marie announced tuesday .",train sabotage : eight leftwing anarchists arrested : minister, Anarchists arrested for railway attacks.
iraqi foreign minister hoshyar zebari on wednesday repeated baghdad 's denunciation of a deadly us raid on a syrian village that he said harmed relations between the neighbouring countries .,iraq again denounces us attack on syrian village, Iraqi FM condemns US raid on Syria.
"a blue-ribbon panel of experts said on wednesday that german economic growth will grind to a halt next year , raising doubts about berlin 's plans to shield europe 's biggest economy from the global turmoil .",german economy will grind to halt in #### say experts," ""German Economic Growth to Slow Next Year."""
"new zealand share prices closed #.## percent lower wednesday after investors took their lead from further weakness in overseas markets , dealers said .",new zealand shares close down #.## percent," New Zealand share prices fell by ##% on Wednesday, with investors following the trend of weakness in international markets, according to dealers."
juventus moved into second place in italy 's serie a with a #-# win over genoa at turin 's stadio olimpico .,football : juventus up to second in impressive style, Juventus over Genoa for second spot.
us shares managed modest gains in morning trade thursday as investors looked for bargains after a punishing three-day market selloff and shook off more bleak economic and corporate news .,wall street struggles higher after three-day rout," U.S. stocks gained modestly on Thursday, as investors focused on value opportunities amid recent market volatility and overlooked negative news."
"chelsea striker didier drogba is under investigation for an incident during wednesday night 's league cup loss to burnley when he threw a coin back at the crowd , police confirmed thursday .",afp world news agenda, Didier Drogba investigation for throwing coin.
"china plans to punish singers who UNK for `` cheating the public , '' the ministry of culture said thursday .",afp features," China will penalize artists who deceive fans, Culture Ministry announces."
"shivnarine chanderpaul hit a fighting century but could n't stop pakistan winning the second day-night international by ## runs here on friday , securing an unbeatable #-# lead .",cricket : chanderpaul 's hundred in vain as pakistan clinch series," Chanderpaul scored a hundred, but Pakistan still won."
"german carmaker opel , a unit of troubled us giant general motors , has asked berlin and regional states for credit guarantees to ensure its financing , its chief executive hans UNK said in an interview published friday .",opel asks for german public loan guarantees : report, Opel seeks credit guarantees from Berlin.
"a chinese fishing boat with a ##-man crew has been hijacked by pirates off the coast of east africa and is being held in somalia , state media reported here on friday .",china fishing boat hijacked off east africa : chinese state media," Chinese fishing vessel hijacked by pirates, held in Somalia."
"iran , opec 's number two oil producer , favors a cut in crude production of #.# to #.# million barrels per day when the oil cartel meets in cairo later this month , state television reported saturday .",iran favors opec cut of #.# to #.# million bpd," Iran, OPEC's second-largest oil producer, supports cutting production by #.# to #.# million barrels per day at OPEC's meeting in Cairo later this month, according to a report on state television."
villarreal coach manuel pellegrini was understandably disappointed at dropping two points in the title race as malaga scored a ##th minute equaliser to snatch a #-# draw on sunday .,football : pellegrini rues dropped villarreal points, Manuel Pellegrini disappointed after draw.
stock markets in the gulf states plunged on the week 's opener sunday as panic from the fallout of the global economic crisis continued to dampen investor sentiment .,gulf stocks plunge as g## fails to halt panic," Stock markets in Gulf States declined on Sunday, with panic over the global economic crisis affecting investor sentiment."
"a brutal financial crisis showed its teeth on monday as us banking giant citigroup announced a massive ##,### job cuts and automakers begged governments to save them amid a spreading global recession .",global crisis shows teeth with mass citigroup cuts, Brutal financial crisis strikes.
international mediators raised concerns monday over fresh fighting near azerbaijan 's disputed nagorny karabakh region that left at least one soldier dead at the weekend .,mediators raise concerns over deadly karabakh fighting, International mediators expressed concern about recent fighting in Nagorny Karabakh.
leading tibetan exiles began a week-long meeting monday in northern india that could usher in a more radical approach to their long struggle against chinese rule in tibet .,tibetans plot future after dalai lama admits failure, Tibetan Exiles Meeting in India.
"british premier gordon brown has narrowed the poll gap on opposition conservatives to just three points , a survey showed tuesday , the latest sign of a boost from his handling of the financial crisis .",british pm gets poll boost from crisis management, Gordon Brown's popularity up after handling of financial crisis.
"barclays , the second-biggest british bank , said tuesday that investors from the oil-rich gulf had agreed to amend terms of their proposed capital injection worth billions of dollars .",barclays proposed gulf investors amend injection plan, Barclays announced Gulf investors agreed to change terms of $billions in capital injection.
"chinese share prices plummeted #.## percent on tuesday as unabated concerns over china 's slowing economy and weakness in regional markets triggered heavy selling , dealers said .",chinese shares close down #.## pct, Chinese share prices fell due to economic concerns and weak regional markets.
"david beckham 's career should be over , england 's #### world cup winner martin peters said following the la galaxy midfielder 's run of substitute appearances .",football : beckham career should be over says world cup winner peters," David Beckham's career should end, says Martin Peters."
"barack obama 's transition team dropped broad hints wednesday about who will fill a raft of top posts in his administration , naming teams of aides to develop policies in key areas .",obama gives hints about key administration posts, Obama names policy teams for top posts.
"al-qaeda number two ayman zawahiri warned us president-elect barack obama against sending more troops to afghanistan , in an internet UNK released on wednesday .",zawahiri warns obama against sending troops to afghanistan, Ayman Zawahiri warning against troop increase in Afghanistan.
"just as germany comes under pressure to do more to jumpstart the world 's third biggest economy , party politics is rearing its ugly head and undermining berlin 's efforts to weather a sharp global slowdown .",party politics undermine german economic defences, Economic challenges threaten Germany's efforts.
"russian president dmitry medvedev on thursday demanded ukraine repay #.# billion dollars -lrb- #.# billion euros -rrb- of debt to russian energy giant gazprom , saying kiev could be `` forced '' to pay up .",medvedev demands ukraine repay #.# billion dollar gas debt, Russian President demands $5.3B from Ukraine.
"the council of europe 's human rights commissioner slammed thursday as `` unacceptable '' conditions in france 's overcrowded and dilapidated jails , where some ## inmates have committed suicide this year .",council of europe again slams french prison conditions, Council of Europe criticizes France's prison conditions.
there could be a nasty surprise under the tree for the us economy this christmas .,grim tidings for us christmas shopping season," ""Cautious economic warning."""
opponents of the leftist government of president daniel ortega said wednesday they had enough votes in congress to annul the disputed november # municipal elections in nicaragua .,afp client advisory on australian cricket coverage, Leftist government challenged by opposition.
"malaysian shares are expected to remain volatile in the coming week on continuing uncertainties in the global financial markets and fears over the length of a global recession , dealers said friday .",malaysian shares to remain volatile next week : analysts, Global financial markets uncertainty and fear of long recession may affect Malaysian shares' performance.
kevin garnett scored ## points in his return after a one-game suspension and the boston celtics ripped detroit ##-## here thursday in a rematch of last season 's nba semi-finals .,basketball : garnett makes triumphant return as celtics top pistons, Kevin Garnett scored xxx points in Boston's win over Detroit.
the alleged al-qaeda mastermind of a #### transatlantic airplane bombing plot had been on the run for nearly a year before a us missile attack in northwest pakistan ended his life saturday .,terror plot mastermind killed in pakistan after year on the run, US missile strike kills Al-Qaeda mastermind.
somali pirates holding a huge oil-laden saudi tanker on saturday vowed to fight back should any assault be attempted to free the ship and urged its owners to pay up a ## million dollars ransom .,we 'll fight back somali pirates warn," Somali pirates hold Saudi tanker, demand $##million ransom."
australian share prices opened slightly higher on monday following a big rally on wall street ahead of the weekend .,australian shares open up #.# percent, Australian shares started the week with a slight rise after US markets experienced a strong performance.
portsmouth striker jermain defoe could be ruled out for several weeks if a specialist decides the england international needs surgery to cure a calf injury .,football : defoe to see specialist over calf injury, Jermain Defoe's calf injury may require surgery.
"south korea 's central bank is likely to inject up to #.# billion dollars into a state fund aimed at easing a credit squeeze in the country 's debt market , a report said sunday .",skorea 's central bank to inject money into bond fund : report, South Korea's central bank to inject funds into state credit fund.
oil prices roared higher towards ## dollars on monday as equity markets surged on government action aimed at tackling a severe economic downturn .,oil prices soar towards ## dollars, Oil prices rose due to government efforts to stimulate the economy during a recession.
