Document,Summary,Model output
"talks between china and taiwan are expected to see the arch rivals forge closer economic ties this week but are unlikely to cool simmering tensions over the island 's sovereignty , analysts said .",fresh taiwan-china talks to set stage for improved ties : analysts," Economic ties, not political resolution."
"un chief ban ki-moon said he would personally mediate in the crisis in the democratic republic of congo where new clashes broke out tuesday , threatening a week-old ceasefire .",ban to lead congo mediation as new clashes threaten truce, Ban Ki-Moon to mediate DRC crisis.
"after the longest and most expensive us presidential campaign ever , newspaper headlines on tuesday reflected both the historic importance of the occasion and relief that the outcome will soon be known .",us press hail historic presidential vote," Historic moment, relieved outcome."
"americans vote in an election of rare historic potential tuesday , with front - running democrat barack obama seeking to become the first black president and republican john mccain hoping for a UNK comeback .",history beckons obama mccain on election day," Historic Election Day Tuesday, Obama/McCain race in focus."
"taiwan share prices opened slightly lower tuesday with profit taking emerging as the market hovered close to the key #,###-point mark , dealers said .",taipei shares open slightly lower, Taiwan share prices opened lower due to profit-taking.
ten senior french officers filed suit against rwanda for slander on tuesday after a justice minister 's report accused them of taking part in the #### genocide .,ten french officers file suit over rwanda genocide report, French officers sue Rwanda for genocide slander.
"voter turnout reached a level unseen for a century in the historic election that swept barack obama to power as the first black us president , according to data published by analysts on wednesday .",record turnout for us election : analysts, Increased voter turnout in the US saw a historic election victory for President Barack Obama.
"retailers in the ## countries using the euro saw demand slip less than expected in september despite the worst financial crisis for generations , official eu data showed on wednesday UNK",eurozone retail sales slip less than expected : eu data, Eurozone retail sales grow less than expected in September.
australian prime minister kevin rudd wednesday praised us president-elect barack obama for turning martin luther king 's dream into a reality after the african - american won his country 's highest office .,australian pm says obama has turned king 's dream to reality, Australian PM praises Obama for MLK dream realization.
australia coach robbie deans has made eight changes to the side that was defeated by new zealand at the weekend ahead of the wallabies ' test against italy here sunday .,rugbyu : deans rings changes for aussies azzurri test, Robbie Deans makes eight changes for Italy match.
india were ###-# in their first innings at lunch on the opening day of the fourth and final test against australia here on thursday .,cricket : india ###-# at lunch in final australia test," India 178/4, trailing Australia at Lunch Day 1, Test 4."
"thousands of people attacked chinese police in the southern city of shenzhen from friday afternoon to early saturday morning , state media reported .",thousands attack police in southern china : state media," Thousands protest in Shenzhen, China; clash with police."
us president george w. bush on friday warned that it would take time for federal stimulus measures to have their full economic effect amid news of steep job losses .,it will take time for economic measures to take effect : bush," ""Bush Stimulus Delayed Economic Impact"""
"bank lending tightened up as financial markets erupted this year and is set to tighten further in the near future , a european central bank survey showed on friday , despite massive efforts by authorities to unfreeze credit markets .",eurozone bank lending set to tighten ecb survey finds, Bank lending tightening due to market turmoil.
"five french trekkers and mountaineers were among six foreigners killed during the autumn climbing season in nepal , the french embassy and nepalese officials said friday .",nepal climbing season claims five french lives," Six foreigners, including five French trekkers/mountaineers, were killed in Nepal during the autumn climbing season, according to the French Embassy and Nepalese officials."
"argentine striker gonzalo higuain scored an incredible four goals , including two questionable penalties , as ten-man real madrid came from behind three times to defeat malaga #-# on sunday and go top of the spanish first division for the first time this season .",four goal hero higuain fires real top," Gonzalo Higuain scored four goals, including two penalties, as Real Madrid came back from behind three times to defeat Malaga and take the lead in the Spanish first division."
"us president-elect barack obama on friday said he would act `` swiftly '' as soon as he takes office to confront the economic crisis head on , during his first news conference since his historic election .",obama vows to confront economic crisis head on, President-elect Obama plans to address economic crisis quickly.
"pope benedict xvi marked sunday the ##th anniversary of the kristallnacht pogrom , a prelude to the holocaust , by recalling the agony he felt as a boy growing up in nazi germany .",pope speaks of pain of kristallnacht memories, Pope Benedict XVI remembered Kristallnacht on Sunday.
australian foreign minister stephen smith sunday congratulated new zealand 's new prime minister-elect john key as he praised ousted leader helen clark as a `` gutsy '' and respected politician .,time caught up with nz 's gutsy clark says australian fm," Congratulations to New Zealand's new Prime Minister-Elect, John Key."
"iraq 's cabinet is expected to meet in baghdad on tuesday to discuss a military accord that will govern the presence of american troops in iraq beyond #### , a minister said on monday .",iraq 's cabinet expected to meet on us pact as deadline looms, Meeting to discuss US troop extension.
"syria and lebanon decided on monday to boost border controls and anti-terrorism coordination , as the two neighbors took a new step to strengthen ties since diplomatic relations were established .",syria and lebanon to boost border anti-terror controls," Syria, Lebanon to Boost Border Controls and Anti-Terrorism Cooperation."
global banking giant hsbc said on monday that its pre-tax profits had risen in the third-quarter despite loan write-offs in the united states rising to #.# billion dollars -lrb- #.# billion euros -rrb- .,hsbc says profits rise despite rising us bad debts, HSBC reports higher Q3 profits despite U.S. loan write-offs.
fourteen men accused of membership of organised crime gangs and involvement in a savage europe-wide vendetta go on trial wednesday at UNK in southern italy .,trial opens wednesday in case of italian organised crime vendetta, Fourteen men face trial for organized crime.
"russia 's defense industry has been badly hit by the global financial crisis , deputy prime minister sergei ivanov , a former defense minister , said tuesday .",russia 's defense sector hit by financial crisis : govt official," Russia's defense industry affected by crisis, says Ivanov."
grim overall economic and corporate news pushed global stocks into reverse on tuesday despite an unexpected beam of light for the german economy .,grim economic outlook knocks stocks back despite german uplift," Global stocks decline due to negative economic news, but Germany's economy shows signs of improvement."
"eight members of an ultra-left anarchist group have been arrested in connection with a string of attacks on france 's rail network , french interior minister michele alliot-marie announced tuesday .",train sabotage : eight leftwing anarchists arrested : minister, Anarchists arrested for train attacks.
iraqi foreign minister hoshyar zebari on wednesday repeated baghdad 's denunciation of a deadly us raid on a syrian village that he said harmed relations between the neighbouring countries .,iraq again denounces us attack on syrian village," ""Iraq condemns US raid in Syria."""
"a blue-ribbon panel of experts said on wednesday that german economic growth will grind to a halt next year , raising doubts about berlin 's plans to shield europe 's biggest economy from the global turmoil .",german economy will grind to halt in #### say experts, Blue Ribbon Panel: German Growth Will Grind to Halt Next Year.
"new zealand share prices closed #.## percent lower wednesday after investors took their lead from further weakness in overseas markets , dealers said .",new zealand shares close down #.## percent," New Zealand share prices fell on Wednesday, with the exact percentage drop not specified. Investors followed the trend of weakness in international markets, according to dealers."
juventus moved into second place in italy 's serie a with a #-# win over genoa at turin 's stadio olimpico .,football : juventus up to second in impressive style, Juventus defeated Genoa 2-0 to move into second place in Serie A.
us shares managed modest gains in morning trade thursday as investors looked for bargains after a punishing three-day market selloff and shook off more bleak economic and corporate news .,wall street struggles higher after three-day rout, Markets rebounded with modest gains.
"chelsea striker didier drogba is under investigation for an incident during wednesday night 's league cup loss to burnley when he threw a coin back at the crowd , police confirmed thursday .",afp world news agenda, Didier Drogba investigated for throwing coin.
"china plans to punish singers who UNK for `` cheating the public , '' the ministry of culture said thursday .",afp features," China to penalize singers for deceiving the public, announced Ministry of Culture on Thursday."
"shivnarine chanderpaul hit a fighting century but could n't stop pakistan winning the second day-night international by ## runs here on friday , securing an unbeatable #-# lead .",cricket : chanderpaul 's hundred in vain as pakistan clinch series," Shivnarine Chanderpaul scored a fighting century, but Pakistan won the second day-night match by ## runs, securing an unbeatable lead of #-#."
"german carmaker opel , a unit of troubled us giant general motors , has asked berlin and regional states for credit guarantees to ensure its financing , its chief executive hans UNK said in an interview published friday .",opel asks for german public loan guarantees : report, Opel seeks credit guarantees from Berlin and regions.
"a chinese fishing boat with a ##-man crew has been hijacked by pirates off the coast of east africa and is being held in somalia , state media reported here on friday .",china fishing boat hijacked off east africa : chinese state media," Chinese boat hijacked by pirates, held in Somalia."
"iran , opec 's number two oil producer , favors a cut in crude production of #.# to #.# million barrels per day when the oil cartel meets in cairo later this month , state television reported saturday .",iran favors opec cut of #.# to #.# million bpd, Iran suggests OPEC cut in crude production by 2 million bpd at Cairo meeting.
villarreal coach manuel pellegrini was understandably disappointed at dropping two points in the title race as malaga scored a ##th minute equaliser to snatch a #-# draw on sunday .,football : pellegrini rues dropped villarreal points, Pellegrini unhappy with draw against Malaga.
stock markets in the gulf states plunged on the week 's opener sunday as panic from the fallout of the global economic crisis continued to dampen investor sentiment .,gulf stocks plunge as g## fails to halt panic," Global economic crisis causes panic in Gulf region, leading to a drop in stock market prices."
"a brutal financial crisis showed its teeth on monday as us banking giant citigroup announced a massive ##,### job cuts and automakers begged governments to save them amid a spreading global recession .",global crisis shows teeth with mass citigroup cuts, Citigroup announces major job cuts amid global recession.
international mediators raised concerns monday over fresh fighting near azerbaijan 's disputed nagorny karabakh region that left at least one soldier dead at the weekend .,mediators raise concerns over deadly karabakh fighting, Concern over recent fighting in Nagorny Karabakh.
leading tibetan exiles began a week-long meeting monday in northern india that could usher in a more radical approach to their long struggle against chinese rule in tibet .,tibetans plot future after dalai lama admits failure, Tibetan exiles meet for radical approach.
"british premier gordon brown has narrowed the poll gap on opposition conservatives to just three points , a survey showed tuesday , the latest sign of a boost from his handling of the financial crisis .",british pm gets poll boost from crisis management," Gordon Brown's approval rating has improved, according to a recent survey."
"barclays , the second-biggest british bank , said tuesday that investors from the oil-rich gulf had agreed to amend terms of their proposed capital injection worth billions of dollars .",barclays proposed gulf investors amend injection plan, Barclays announced Gulf investors agreed to alter capital injection terms.
"chinese share prices plummeted #.## percent on tuesday as unabated concerns over china 's slowing economy and weakness in regional markets triggered heavy selling , dealers said .",chinese shares close down #.## pct," Chinese shares declined sharply on Tuesday, with concerns over China's economic slowdown and weak regional markets driving selling."
"david beckham 's career should be over , england 's #### world cup winner martin peters said following the la galaxy midfielder 's run of substitute appearances .",football : beckham career should be over says world cup winner peters," ""Martin Peters criticizes David Beckham's career."""
"barack obama 's transition team dropped broad hints wednesday about who will fill a raft of top posts in his administration , naming teams of aides to develop policies in key areas .",obama gives hints about key administration posts, Obama's policy teams named.
"al-qaeda number two ayman zawahiri warned us president-elect barack obama against sending more troops to afghanistan , in an internet UNK released on wednesday .",zawahiri warns obama against sending troops to afghanistan, Ayman Zawahiri urged Obama not to increase troop presence in Afghanistan.
"just as germany comes under pressure to do more to jumpstart the world 's third biggest economy , party politics is rearing its ugly head and undermining berlin 's efforts to weather a sharp global slowdown .",party politics undermine german economic defences, Germany's economic struggles hindered by political divisiveness.
"russian president dmitry medvedev on thursday demanded ukraine repay #.# billion dollars -lrb- #.# billion euros -rrb- of debt to russian energy giant gazprom , saying kiev could be `` forced '' to pay up .",medvedev demands ukraine repay #.# billion dollar gas debt, Russian President Demands Ukraine Repay Gazprom Debt
"the council of europe 's human rights commissioner slammed thursday as `` unacceptable '' conditions in france 's overcrowded and dilapidated jails , where some ## inmates have committed suicide this year .",council of europe again slams french prison conditions, Council of Europe criticizes French jail conditions.
there could be a nasty surprise under the tree for the us economy this christmas .,grim tidings for us christmas shopping season, Economic warning for US.
opponents of the leftist government of president daniel ortega said wednesday they had enough votes in congress to annul the disputed november # municipal elections in nicaragua .,afp client advisory on australian cricket coverage, Opponents have enough votes for election annulment.
"malaysian shares are expected to remain volatile in the coming week on continuing uncertainties in the global financial markets and fears over the length of a global recession , dealers said friday .",malaysian shares to remain volatile next week : analysts, Uncertainty and fear lead to volatility in Malaysian shares.
kevin garnett scored ## points in his return after a one-game suspension and the boston celtics ripped detroit ##-## here thursday in a rematch of last season 's nba semi-finals .,basketball : garnett makes triumphant return as celtics top pistons," Kevin Garnett scored XX points, Celtics beat Pistons."
the alleged al-qaeda mastermind of a #### transatlantic airplane bombing plot had been on the run for nearly a year before a us missile attack in northwest pakistan ended his life saturday .,terror plot mastermind killed in pakistan after year on the run, Al Qaeda mastermind dead.
somali pirates holding a huge oil-laden saudi tanker on saturday vowed to fight back should any assault be attempted to free the ship and urged its owners to pay up a ## million dollars ransom .,we 'll fight back somali pirates warn, Somali pirates demand $##m ransom for oil tanker.
australian share prices opened slightly higher on monday following a big rally on wall street ahead of the weekend .,australian shares open up #.# percent, Australian shares rise after Wall Street rally.
portsmouth striker jermain defoe could be ruled out for several weeks if a specialist decides the england international needs surgery to cure a calf injury .,football : defoe to see specialist over calf injury, Jermain Defoe may need surgery for calf injury.
"south korea 's central bank is likely to inject up to #.# billion dollars into a state fund aimed at easing a credit squeeze in the country 's debt market , a report said sunday .",skorea 's central bank to inject money into bond fund : report, Central Bank to Inject Billions into State Fund for Debt Market.
oil prices roared higher towards ## dollars on monday as equity markets surged on government action aimed at tackling a severe economic downturn .,oil prices soar towards ## dollars," Oil prices rose sharply on Monday, driven by optimism over government efforts to address the economic slowdown."
